WKT
"MULTILINESTRING ((318.610082492618 146.574742133663,320.687031776764 142.315425848424))"
"MULTILINESTRING ((320.687031776764 142.315425848424,331.613205357539 138.926270983052))"
"MULTILINESTRING ((331.613205357539 138.926270983052,334.848325820926 141.993267075901))"
"MULTILINESTRING ((334.848325820926 141.993267075901,335.362888288332 136.847642401852))"
"MULTILINESTRING ((335.362888288332 136.847642401852,342.065878017984 133.113390660098))"
"MULTILINESTRING ((342.065878017984 133.113390660098,341.252335935065 126.046925264244))"
"MULTILINESTRING ((341.252335935065 126.046925264244,342.959690087658 117.512307262163))"
"MULTILINESTRING ((341.252335935065 126.046925264244,333.010163649282 126.794880400498))"
"MULTILINESTRING ((333.010163649282 126.794880400498,327.134383959394 127.32809172467))"
"MULTILINESTRING ((327.134383959394 127.32809172467,318.346664118704 128.125553845444))"
"MULTILINESTRING ((318.346664118704 128.125553845444,312.5159092903 126.125405388106))"
"MULTILINESTRING ((312.5159092903 126.125405388106,311.152978930825 130.937816043538))"
"MULTILINESTRING ((311.152978930825 130.937816043538,295.481749725503 131.834479353075))"
"MULTILINESTRING ((295.481749725503 131.834479353075,293.258321970974 126.992132243547))"
"MULTILINESTRING ((293.258321970974 126.992132243547,290.672373792531 132.690385239452))"
"MULTILINESTRING ((290.672373792531 132.690385239452,278.847382103908 136.212348512311))"
"MULTILINESTRING ((278.847382103908 136.212348512311,276.772837927006 136.830232109303))"
"MULTILINESTRING ((276.772837927006 136.830232109303,268.302383772424 139.353077724964))"
"MULTILINESTRING ((268.302383772424 139.353077724964,263.62057000028 140.747512206615))"
"MULTILINESTRING ((263.62057000028 140.747512206615,255.723847159928 143.099477311709))"
"MULTILINESTRING ((255.723847159928 143.099477311709,247.996065098361 145.401124984551))"
"MULTILINESTRING ((247.996065098361 145.401124984551,240.457302362745 147.646475017497))"
"MULTILINESTRING ((240.457302362745 147.646475017497,235.935154487596 148.993354503766))"
"MULTILINESTRING ((235.935154487596 148.993354503766,234.304857561164 154.699393746276))"
"MULTILINESTRING ((234.304857561164 154.699393746276,213.546536484653 158.1807564323))"
"MULTILINESTRING ((182.290199260319 171.669193120098,183.154291494379 170.635546202143))"
"MULTILINESTRING ((183.154291494379 170.635546202143,191.794865204465 169.168278968355))"
"MULTILINESTRING ((191.794865204465 169.168278968355,192.609665882911 169.827398552286))"
"MULTILINESTRING ((192.609665882911 169.827398552286,193.05834532245 169.005249275712))"
"MULTILINESTRING ((193.05834532245 169.005249275712,201.128315108285 167.334194926119))"
"MULTILINESTRING ((201.128315108285 167.334194926119,202.103033471411 167.823092699079))"
"MULTILINESTRING ((202.103033471411 167.823092699079,203.186564977905 166.620940020806))"
"MULTILINESTRING ((203.186564977905 166.620940020806,207.537419900319 165.83635962496))"
"MULTILINESTRING ((207.537419900319 165.83635962496,208.684740529914 166.604258058615))"
"MULTILINESTRING ((208.684740529914 166.604258058615,209.575291058358 165.428785393353))"
"MULTILINESTRING ((209.575291058358 165.428785393353,215.37646677974 164.014681311072))"
"MULTILINESTRING ((215.37646677974 164.014681311072,216.160259658091 165.195826918524))"
"MULTILINESTRING ((216.160259658091 165.195826918524,218.093592498962 162.473872214196))"
"MULTILINESTRING ((218.093592498962 162.473872214196,233.770641954993 159.483919482891))"
"MULTILINESTRING ((233.770641954993 159.483919482891,241.814412778539 157.949798243349))"
"MULTILINESTRING ((241.814412778539 157.949798243349,246.919918630803 158.550718767932))"
"MULTILINESTRING ((246.919918630803 158.550718767932,250.450140876468 158.966227645043))"
"MULTILINESTRING ((250.450140876468 158.966227645043,251.433164644484 157.338436895937))"
"MULTILINESTRING ((251.433164644484 157.338436895937,256.731629655386 156.401016163239))"
"MULTILINESTRING ((256.731629655386 156.401016163239,258.169426932738 157.74739300458))"
"MULTILINESTRING ((258.169426932738 157.74739300458,259.625406699802 156.074956777952))"
"MULTILINESTRING ((259.625406699802 156.074956777952,266.237642666963 154.880379796608))"
"MULTILINESTRING ((266.237642666963 154.880379796608,275.643074001991 153.181179733537))"
"MULTILINESTRING ((275.643074001991 153.181179733537,276.953023002994 154.131516904538))"
"MULTILINESTRING ((276.953023002994 154.131516904538,278.69988073905 152.895877771411))"
"MULTILINESTRING ((278.69988073905 152.895877771411,289.439899975132 150.915551209711))"
"MULTILINESTRING ((289.439899975132 150.915551209711,305.39603341144 147.973437776637))"
"MULTILINESTRING ((305.39603341144 147.973437776637,308.982646147513 147.312110798384))"
"MULTILINESTRING ((308.982646147513 147.312110798384,311.053307721743 147.956088059522))"
"MULTILINESTRING ((311.053307721743 147.956088059522,312.365512269858 146.904536566776))"
"MULTILINESTRING ((312.365512269858 146.904536566776,316.767313971223 146.130145526721))"
"MULTILINESTRING ((316.767313971223 146.130145526721,318.610082492618 146.574742133663))"
"MULTILINESTRING ((312.5159092903 126.125405388106,316.278224893294 130.397780186658))"
"MULTILINESTRING ((318.346664118704 128.125553845444,316.278224893294 130.397780186658))"
"MULTILINESTRING ((316.278224893294 130.397780186658,311.152978930825 130.937816043538))"
"MULTILINESTRING ((318.610082492618 146.574742133663,318.327170061565 144.612073558702))"
"MULTILINESTRING ((318.327170061565 144.612073558702,317.19376071745 136.749192122268))"
"MULTILINESTRING ((317.19376071745 136.749192122268,316.278224893294 130.397780186658))"
"MULTILINESTRING ((318.346664118704 128.125553845444,325.697572270454 134.753142861836))"
"MULTILINESTRING ((325.697572270454 134.753142861836,331.613205357539 138.926270983052))"
"MULTILINESTRING ((331.613205357539 138.926270983052,335.362888288332 136.847642401852))"
"MULTILINESTRING ((335.362888288332 136.847642401852,337.665770243103 132.624364076493))"
"MULTILINESTRING ((337.665770243103 132.624364076493,341.252335935065 126.046925264244))"
