WKT,name
"POINT (293.258321970974 126.992132243547)",5608.EG.059
"POINT (282.532577134894 89.3707696745697)",5608.EG.059
"POINT (293.258321970974 126.992132243547)",5608.EG.055
"POINT (287.353745268283 95.9795619473059)",5608.EG.055
"POINT (293.258321970974 126.992132243547)",5608.EG.053
"POINT (288.193386909492 98.1192938716754)",5608.EG.053
"POINT (293.258321970974 126.992132243547)",5608.EG.038
"POINT (291.579038688557 109.847191634359)",5608.EG.038
"POINT (293.258321970974 126.992132243547)",5608.EG.036
"POINT (293.502088899067 115.670512694352)",5608.EG.036
"POINT (312.5159092903 126.125405388106)",hs_3
"POINT (309.238598368164 122.739753609041)",hs_3
"POINT (342.959690087658 117.512307262163)",hs_2
"POINT (339.709464379755 113.991229411935)",hs_2
"POINT (342.065878017984 133.113390660098)",hs_1
"POINT (345.641126296678 133.005049803168)",hs_1
"POINT (318.610082492618 146.574742133663)",5605.EG.035
"POINT (320.451877060429 166.184437238011)",5605.EG.035
"POINT (311.053307721743 147.956088059522)",computerhall
"POINT (311.432500720999 150.556268625844)",computerhall
"POINT (276.953023002994 154.131516904538)",5607.EG.014
"POINT (277.467642073412 156.460845328535)",5607.EG.014
"POINT (258.169426932738 157.74739300458)",5609.EG.022
"POINT (258.751759038737 159.575644965275)",5609.EG.022
"POINT (250.450140876468 158.966227645043)",5609.EG.038
"POINT (256.842251435344 183.234579597386)",5609.EG.038
"POINT (216.160259658091 165.195826918524)",5611.EG.038
"POINT (222.877392787758 189.518349299332)",5611.EG.038
"POINT (208.684740529914 166.604258058615)",5613.EG.008
"POINT (208.95559267224 169.041927339543)",5613.EG.008
"POINT (202.103033471411 167.823092699079)",5613.EG.009A
"POINT (202.698908184526 169.908654194984)",5613.EG.009A
"POINT (192.609665882911 169.827398552286)",5613.EG.010
"POINT (192.880518025236 171.5879374774)",5613.EG.010
"POINT (182.290199260319 171.669193120098)",5613.EG.036
"POINT (187.761412535289 189.707945798959)",5613.EG.036
"POINT (182.290199260319 171.669193120098)",5613.EG.054
"POINT (190.036570530821 203.467234629082)",5613.EG.054
"POINT (182.290199260319 171.669193120098)",5613.EG.062
"POINT (193.503477952584 222.372714163385)",5613.EG.062
"POINT (213.546536484653 158.1807564323)",library
"POINT (205.962676499545 153.413758727376)",library
"POINT (338.068162250628 152.671711944027)",magistrale
"POINT (334.848325820926 141.993267075901)",magistrale
