WKT,name
"POINT (344.186664122035 131.345968809581)",hs_1
"POINT (344.529026476586 134.684001766449)",hs_1
"POINT (346.155247660701 138.278806489231)",hs_1
"POINT (349.193713557337 141.745225329055)",hs_1
"POINT (352.874108868756 143.970580633634)",hs_1
"POINT (356.340527708581 145.554006523431)",hs_1
"POINT (360.063718314319 146.581093587083)",hs_1
"POINT (364.428838334839 146.880660647314)",hs_1
"POINT (367.638485408751 146.623888881401)",hs_1
"POINT (373.84380308498 128.607069973176)",hs_1
"POINT (371.532857191764 125.996557019728)",hs_1
"POINT (368.280414823533 123.985178186743)",hs_1
"POINT (364.685610100752 122.273366413991)",hs_1
"POINT (360.406080668869 121.374665233295)",hs_1
"POINT (356.040960648349 121.246279350339)",hs_1
"POINT (351.590250039192 121.93100405944)",hs_1
"POINT (348.38060296528 123.728406420831)",hs_1
"POINT (345.941271189107 125.996557019728)",hs_1
"POINT (344.186664122035 131.345968809581)",hs_1
"POINT (339.714555865718 115.254938145703)",hs_2
"POINT (341.854320581659 116.11084403208)",hs_2
"POINT (344.37924294647 115.811276971848)",hs_2
"POINT (346.219440602179 114.869780496834)",hs_2
"POINT (347.802866491976 113.585921667269)",hs_2
"POINT (348.487591201077 112.259267543386)",hs_2
"POINT (345.534715893078 110.119502827444)",hs_2
"POINT (343.480541765774 108.10812399446)",hs_2
"POINT (342.19668293621 105.668792218287)",hs_2
"POINT (341.340777049833 103.700208679621)",hs_2
"POINT (339.158217039573 104.598909860316)",hs_2
"POINT (337.703177032733 106.053949867156)",hs_2
"POINT (336.590499380444 108.364895760373)",hs_2
"POINT (336.462113497487 110.804227536546)",hs_2
"POINT (337.531995855458 113.457535784313)",hs_2
"POINT (338.516287624791 114.441827553646)",hs_2
"POINT (339.714555865718 115.254938145703)",hs_2
"POINT (309.287101605034 123.942382892425)",hs_3
"POINT (310.827732200512 124.45592642425)",hs_3
"POINT (312.839111033496 124.520119365729)",hs_3
"POINT (314.465332217612 124.027973481062)",hs_3
"POINT (315.749191047176 123.257658183323)",hs_3
"POINT (316.968856935263 122.209173472512)",hs_3
"POINT (317.717774585842 120.946712290107)",hs_3
"POINT (318.081534587552 120.133601698049)",hs_3
"POINT (315.963167518771 119.534467577586)",hs_3
"POINT (314.358343981815 118.207813453702)",hs_3
"POINT (313.138678093728 116.795568741181)",hs_3
"POINT (312.111591030076 115.297733440022)",hs_3
"POINT (311.662240439729 113.628716961588)",hs_3
"POINT (311.2556851437 111.7243263644)",hs_3
"POINT (309.522475723788 112.366255779183)",hs_3
"POINT (307.896254539672 113.436138137153)",hs_3
"POINT (306.655191004426 114.826985202515)",hs_3
"POINT (305.970466295325 116.709978152543)",hs_3
"POINT (305.863478059528 119.02092404576)",hs_3
"POINT (306.484009827151 121.139291114542)",hs_3
"POINT (307.917652186832 122.915295828773)",hs_3
"POINT (309.287101605034 123.942382892425)",hs_3
"POINT (317.546593408567 174.31779371747)",5605.EG.035
"POINT (322.767619315464 173.461887831094)",5605.EG.035
"POINT (321.269784014305 164.389285435503)",5605.EG.035
"POINT (316.091553401727 165.159600733242)",5605.EG.035
"POINT (317.546593408567 174.31779371747)",5605.EG.035
"POINT (332.760320538909 144.403882988612)",magistrale
"POINT (338.109732328762 143.03443357041)",magistrale
"POINT (337.211031148066 139.182857081716)",magistrale
"POINT (344.229459416354 137.085887660093)",magistrale
"POINT (343.844301767484 135.245690004384)",magistrale
"POINT (343.116781764064 130.794979395226)",magistrale
"POINT (344.785798242498 125.231591133779)",magistrale
"POINT (348.337807670961 122.150329942824)",magistrale
"POINT (353.858400638089 119.967769932564)",magistrale
"POINT (352.874108868756 116.929304035927)",magistrale
"POINT (366.226240696229 112.82095578132)",magistrale
"POINT (365.755492458722 110.296033416509)",magistrale
"POINT (357.10014418274 112.660473427624)",magistrale
"POINT (356.71498653387 111.333819303741)",magistrale
"POINT (348.155927670106 113.687560491276)",magistrale
"POINT (346.486911191671 115.01421461516)",magistrale
"POINT (344.496930005846 115.998506384493)",magistrale
"POINT (342.571141761499 116.212482856087)",magistrale
"POINT (342.143188818311 118.26665698339)",magistrale
"POINT (340.281593515442 117.988487570318)",magistrale
"POINT (338.270214682457 117.089786389623)",magistrale
"POINT (336.643993498342 115.805927560058)",magistrale
"POINT (338.16322644666 114.28669461174)",magistrale
"POINT (337.200332324487 113.409391078204)",magistrale
"POINT (336.558402909704 111.890158129886)",magistrale
"POINT (333.284562894314 112.788859310581)",magistrale
"POINT (334.974977019908 118.673212279419)",magistrale
"POINT (323.762609908376 121.775871117534)",magistrale
"POINT (321.751231075391 115.784529912899)",magistrale
"POINT (318.52018635432 116.758122858652)",magistrale
"POINT (318.648572237276 118.983478163231)",magistrale
"POINT (317.985245175335 121.101845232013)",magistrale
"POINT (316.615795757132 123.0062358292)",magistrale
